trial,generation,fitness,score,seed
1,1,0.0,0.0,3030792920403438541
1,2,0.0,0.0,3030792920403438541
1,3,0.0,0.0,3030792920403438541
1,4,0.0,0.0,3030792920403438541
1,5,0.0,0.0,3030792920403438541
1,6,0.0,0.0,3030792920403438541
1,7,0.0,0.0,3030792920403438541
1,8,0.0,0.0,3030792920403438541
1,9,0.0,0.0,3030792920403438541
1,10,0.0,0.0,3030792920403438541
1,11,0.0,0.0,3030792920403438541
1,12,0.0,0.0,3030792920403438541
1,13,0.0,0.0,3030792920403438541
1,14,0.0,0.0,3030792920403438541
1,15,0.0,0.0,3030792920403438541
1,16,1.0,0.0079,3030792920403438541
1,17,1.0,0.0065,3030792920403438541
1,18,5.0,0.1198,3030792920403438541
1,19,7.0,0.1076,3030792920403438541
1,20,8.0,0.1248,3030792920403438541
2,1,21.0,0.4676,940334653585046112
2,2,27.0,0.475,940334653585046112
2,3,29.0,0.4899,940334653585046112
2,4,31.0,0.4912,940334653585046112
2,5,33.0,0.4846,940334653585046112
2,6,36.0,0.5056,940334653585046112
2,7,35.0,0.4987,940334653585046112
2,8,37.0,0.4995,940334653585046112
2,9,37.0,0.5019,940334653585046112
2,10,38.0,0.5024,940334653585046112
2,11,38.0,0.5038,940334653585046112
2,12,39.0,0.4935,940334653585046112
